event_date,year,event_type,sub_event,actor1,actor2,admin1,admin2,location,city,latitude,longitude,fatalities,notes,source
2022-03-27,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Donetsk oblast,,DPR controlled territory,Donetsk,47.920000,38.280000,3,DPR forces killed 33 Ukrainian nationalists in a day,UCDP GED v25.1
2022-03-27,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Donetsk oblast,Mariupol raion,Volonterivka village,Mariupol,47.149080,37.630130,1,Investigative Committee opened two cases due to shelling in the LPR and DPR by the Armed Forces of Ukraine,UCDP GED v25.1
2022-03-27,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Donetsk oblast,Amvrosiivka raion,Ilovaisk town,Donetsk,47.926000,38.194000,1,One civilian was killed during the shelling of Ilovaisk by Ukrainian troops;One civilian was killed during the shelling of Ilovaisk by Ukrainian troops;A resident of the DPR died during the shelling of Ilovaisk from the Ukrainian side,UCDP GED v25.1
2022-03-27,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Kharkiv oblast,Kharkiv raion,Malaya Rohan village,Kharkiv,49.936186,36.489975,3,Ukraine: Apparent POW Abuse Would Be War Crime,UCDP GED v25.1
2022-03-27,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Kharkiv oblast,Kharkiv raion,Stepanky village,Kharkiv,49.966386,36.504100,3,"In a village near Kharkov, invaders fired at a house from a tank, three people died - prosecutor's office",UCDP GED v25.1
2022-03-27,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Donetsk oblast,Mariupol raion,Mariupol town,Mariupol,47.095833,37.549444,6,Losses of the 810th brigade of the Russian Federation. What is known about the dead and those fighting?;Kutsokon' Oleksandr Oleksandrovych;Horobchenko Mykola Oleksandrovych;Dobroshtan Dmytro Mykolajovych;Hreba Andrij Volodymyrovych;Matvyeyev V'jacheslav Oleksandrovych,UCDP GED v25.1
2022-03-27,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Kharkiv oblast,Izyum raion,Kamyanka village,Kharkiv,49.121944,37.292500,2,"Award the fallen soldier the title of Hero of Ukraine (posthumously);Dear Mr. President! We are relatives, friends, relatives and brothers, we are asking you to consider the issue of posthumously awarding the title of Hero of Ukraine to Junior Sergeant Oleksandr Dmytrovych KARABANOV",UCDP GED v25.1
2022-03-27,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Donetsk oblast,Pokrovsk raion,Avdiivka town,Donetsk,48.145278,37.745000,1,Levakhin Artur Oleksandrovych,UCDP GED v25.1
2022-03-27,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Donetsk oblast,Pokrovsk raion,Pisky village,Donetsk,48.066930,37.666420,1,Tsynajko Mykola Ivanovych,UCDP GED v25.1
2022-03-27,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Donetsk oblast,,Donetsk oblast,Donetsk,48.140000,37.740000,1,Charkovs'kyj Oleksandr Jurijovych,UCDP GED v25.1
2022-03-27,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Donetsk oblast,Volnovakha raion,Novoselivka village (Myrne hromada),Donetsk,47.403600,37.733100,1,Vitchenko Roman Mykolajovych,UCDP GED v25.1
2022-03-27,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Donetsk oblast,Volnovakha raion,Volnovakha town,Donetsk,47.595000,37.482500,1,Kedrja Svjatoslav Oleksandrovych,UCDP GED v25.1
2022-03-27,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Donetsk oblast,Bakhmut raion,Bakhmut town,Donetsk,48.592436,37.999930,1,Battle of Bakhmut;Serhiyenko Ruslan Jurijovych,UCDP GED v25.1
2022-03-28,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Donetsk oblast,,Donetsk oblast,Donetsk,48.140000,37.740000,2,Skrypnyk Vitalij Valerijovych;Novits'kyj Pavlo Ivanovych,UCDP GED v25.1
2022-03-28,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Donetsk oblast,Pokrovsk raion,Avdiivka town,Donetsk,48.145278,37.745000,1,Stupak Artem Oleksandrovych,UCDP GED v25.1
2022-03-28,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Donetsk oblast,Pokrovsk raion,Marinka town,Donetsk,47.941669,37.504218,2,Stetsenko Serhij Vladyslavovych;Solodov Andrij,UCDP GED v25.1
2022-03-28,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Donetsk oblast,Kramatorsk raion,Kramatorsk town,Donetsk,48.716667,37.533333,1,Zayets' Serhij Mykolajovych,UCDP GED v25.1
2022-03-28,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Kharkiv oblast,Izyum raion,Sulyhivka village,Kharkiv,49.028301,37.242450,1,In memory of Colonel Anatoly Nazarenko,UCDP GED v25.1
2022-03-28,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Luhansk oblast,Severodonetsk raion,Rubizhne town,Luhansk,49.010000,38.371400,1,"Mr. President! I ask you to award the title of Hero of Ukraine (posthumously) to a brave defender of our Motherland, a senior soldier, position, military (special) rank: senior mechanic-driver of the 2nd department of the 1st anti-aircraft missile platoon of the 1st anti-aircraft missile battery of the anti-aircraft missile artillery division, work experience in the system of the Ministry of Internal Affairs of Ukraine is general; (military unit 3018) 01 year 04 months 26 days, Yurchak Viktor My",UCDP GED v25.1
2022-03-28,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Donetsk oblast,,DPR controlled territory,Donetsk,47.920000,38.280000,4,"Ukrainian Armed Forces fired more than 200 large-caliber shells and mines at DPR per day;Four DPR servicemen were killed , 22 wounded during the fighting over the past day - Basurin",UCDP GED v25.1
2022-03-28,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Donetsk oblast,Donetsk raion,Petrovskyi town,Donetsk,47.945420,37.617341,1,"An 85-year-old man died during the shelling of Donetsk by Ukrainian troops;In the DPR, two people died during shelling by Ukrainian troops in a day",UCDP GED v25.1
2022-03-28,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Luhansk oblast,,Luhansk oblast,Luhansk,48.920000,39.020000,1,Russian troops have already killed 144 children in Ukraine,UCDP GED v25.1
2022-03-28,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Kharkiv oblast,Kharkiv raion,Lyubotyn village,Kharkiv,49.949771,35.936874,1,"In Kharkiv region, as a result of a missile attack, one person died , seven were injured;During the day, Russian shelling provoked almost 20 fires in the Kharkiv region;In the Kharkiv region, the Armed Forces of Ukraine are conducting operations to oust the enemy in several directions - OVA",UCDP GED v25.1
2022-03-28,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Kharkiv oblast,Kharkiv raion,Kharkiv town,Kharkiv,49.980810,36.252720,3,Nationalists from mortars fired at the queues at the points of issue of aid near Kharkov - Russian Defense Ministry,UCDP GED v25.1
2022-03-28,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Donetsk oblast,Donetsk raion,Staromykhailivka town,Donetsk,48.000260,37.588384,1,"A man was killed during the shelling of Staromikhailivka by the Ukrainian military;Ukrainian troops shelled Staromikhaylovka in the DPR;In the DPR, two people died during shelling by Ukrainian troops in a day",UCDP GED v25.1
2022-03-28,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Kherson oblast,Beryslav raion,Starosillya village,Kherson,47.379027,33.378249,1,"In the Kherson region, a teenager was killed during shelling in the village of Staroselye - Regional State Administration",UCDP GED v25.1
2022-03-28,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Luhansk oblast,Severodonetsk raion,Rubizhne town,Luhansk,49.010000,38.371400,1,"Russian troops fired again at Rubizhne, there are dead and wounded - chairman of UVA;In Kharkiv, Russian invaders fired at a school with ""Gradov"" - Denisova;Shelling in Luhansk region kills two civilians, wounds six more - UCP",UCDP GED v25.1
2022-03-28,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Kharkiv oblast,Kharkiv raion,Kharkiv town,Kharkiv,49.980810,36.252720,1,Ukraine: AOAV explosive violence data on harm to civilians,UCDP GED v25.1
2022-03-28,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Donetsk oblast,Mariupol raion,Mariupol town,Mariupol,47.095833,37.549444,7,"Telipajlo Kostjantyn Viktorovych;Moroz Jaroslav Andrijovych;Shamut Serhij Yevhenijovych;Khokhlenkov Bohdan Oleksandrovych;Tsynajko Mykola Ivanovych;Koval'ov Dmytro Mykolajovych;In memory of health instructor Yevgeny Koziy (call sign ""Pill"");I am asking to award the honorary title of Hero of Ukraine (posthumously) to military serviceman Koziy Yevhenii Oleksiyovych;About the awarding of the title ""Hero of Ukraine"" (posthumously) to the soldier of the military unit A1965 sailor KOVALEV DMYTRA MYKOL",UCDP GED v25.1
2022-03-28,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Zaporizhzhya oblast,Polohy raion,Hulyaipole town,Zaporizhia,47.658519,36.272250,2,"In Zaporizhzhia region, the russians suffered losses in personnel and equipment",UCDP GED v25.1
2022-03-28,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Zaporizhzhya oblast,,Zaporizhzhya oblast,Zaporizhia,47.839720,35.140570,1,"In Zaporizhzhia region, the russians suffered losses in personnel and equipment",UCDP GED v25.1
2022-03-29,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Kherson oblast,Kherson raion,Oleksandrivka village,Kherson,46.614089,32.110032,2,Dear Volodymyr Oleksandrovich! I ask you to award the honorary title of Hero of Ukraine (posthumously) to my stepfather Zeleny Oleksandr Oleksandrovych;Awarded Hero of Ukraine (posthumously),UCDP GED v25.1
2022-03-29,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Donetsk oblast,Horlivka raion,Horlivka town,Donetsk,48.300000,38.050000,1,A man was killed during the shelling of Gorlovka by Ukrainian troops,UCDP GED v25.1
2022-03-29,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Donetsk oblast,,DPR controlled territory,Donetsk,47.920000,38.280000,5,"Five DPR servicemen killed in 24 hours , 19 wounded - Basurin",UCDP GED v25.1
2022-03-29,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Kharkiv oblast,Chuhuiv raion,Chuhuiv raion,Kharkiv,49.783200,36.756900,2,"In the Kharkiv region, two people were killed and five people were injured due to a collision with a mine",UCDP GED v25.1
2022-03-29,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Donetsk oblast,Horlivka raion,Horlivka town,Donetsk,48.300000,38.050000,1,"As a result of the shelling of Gorlovka by the Armed Forces of Ukraine , two people were killed",UCDP GED v25.1
2022-03-29,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Kherson oblast,Beryslav raion,Davydiv Brid village,Kherson,47.236815,33.191444,2,"In the Kherson region , two civilians were killed and a child was injured due to enemy shelling;Due to the shelling of the village of Davydov Brod in the Kherson region, production was opened",UCDP GED v25.1
2022-03-29,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Donetsk oblast,Mariupol raion,Melekyne village,Mariupol,46.956265,37.393216,2,"5 people killed , 22 injured from aggressor shelling in Donetsk region on Thursday - Kirilenko",UCDP GED v25.1
2022-03-29,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Kharkiv oblast,Izyum raion,Kamyanka village,Kharkiv,49.121944,37.292500,2,"Gave their lives for their home: Ivan Nazarchuk and Yaroslav Stadnytskyi, soldiers from the Rivne region, died at the front. Photo",UCDP GED v25.1
2022-03-29,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Kharkiv oblast,Izyum raion,Sukha Kamyanka village,Kharkiv,49.088676,37.348014,1,"In memory of the Donetsk Airport cyborg Taras Koval (call sign ""Walter"")",UCDP GED v25.1
2022-03-29,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Donetsk oblast,Kramatorsk raion,Dolina village,Donetsk,48.995755,37.431764,1,Pikula Kyrylo Volodymyrovych,UCDP GED v25.1
2022-03-29,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Donetsk oblast,Mariupol raion,Mariupol town,Mariupol,47.095833,37.549444,3,Kharuk Volodymyr Jurijovych;Pryjma Oleksandr Vitalijovych;Maksymenko Ivan Andrijovych,UCDP GED v25.1
2022-03-29,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Donetsk oblast,Bakhmut raion,Bakhmut raion,Donetsk,48.268307,38.370347,1,Battle of Bakhmut;Asimov Viktor Vitalijovych,UCDP GED v25.1
2022-03-29,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Kharkiv oblast,Izyum raion,Izyum raion,Kharkiv,49.166670,37.416670,1,Award the title of HERO OF UKRAINE posthumously to Dmytro Volodymyrovych Yevdokymov,UCDP GED v25.1
2022-03-30,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Donetsk oblast,Bakhmut raion,Bakhmut raion,Donetsk,48.268307,38.370347,1,Battle of Bakhmut;Katerynjuk Oleksandr Viktorovych,UCDP GED v25.1
2022-03-30,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Donetsk oblast,Mariupol raion,Mariupol town,Mariupol,47.095833,37.549444,3,Motiyenko Vadym Oleksandrovych	;Ivanchuk Mykola Myroslavovych;Tantsjur Yevhenij,UCDP GED v25.1
2022-03-30,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Donetsk oblast,Kramatorsk raion,Sloviansk town,Donetsk,48.853333,37.625000,1,Krasnojaruz'kyj Serhij Mykolajovych,UCDP GED v25.1
2022-03-30,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Donetsk oblast,Pokrovsk raion,Avdiivka town,Donetsk,48.145278,37.745000,3,Stek Oleh Vasyl'ovych;Berezan Andrij Mykolajovych;Shol'ka Maksym Vasyl'ovych,UCDP GED v25.1
2022-03-30,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Donetsk oblast,Pokrovsk raion,Pokrovsk town,Donetsk,48.279112,37.177579,1,Babych Serhij Petrovych,UCDP GED v25.1
2022-03-30,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Kharkiv oblast,Chuhuiv raion,Lebyazhe village,Kharkiv,49.800919,36.905165,2,A resident of Kharkiv region was exposed in the theft of 800 thousand UAH from the dead,UCDP GED v25.1
2022-03-30,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Luhansk oblast,Luhansk City municipality,Luhansk town,Luhansk,48.566667,39.300000,1,"Serviceman of the LPR died during the shelling of Luhansk ""Tochka-U""",UCDP GED v25.1
2022-03-30,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Donetsk oblast,Donetsk raion,Donetsk town,Donetsk,48.000000,37.805278,2,"A man was killed as a result of an APU shell hitting a residential building in Donetsk;The death toll in the shelling of Donetsk increased to two people, according to the DPR;In the DPR opened a case of a terrorist attack after the shelling of a residential building in Donetsk",UCDP GED v25.1
2022-03-30,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Luhansk oblast,Severodonetsk raion,Lysychansk town,Luhansk,48.904210,38.440940,7,"Situation escalates in Luhansk region - OVA;Situation escalates in Luhansk region - OVA;In shelled Lisichansk, a dead person was found under the rubble , five were rescued and eight were evacuated - State Emergency Service;The enemy fires from heavy weapons throughout the entire territory of the Luhansk region, at least seven people were killed;Ukraine: AOAV explosive violence data on harm to civilians",UCDP GED v25.1
2022-03-30,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Luhansk oblast,Severodonetsk raion,Popasna town,Luhansk,48.633333,38.380000,1,Situation escalates in Luhansk region - OVA,UCDP GED v25.1
2022-03-30,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Donetsk oblast,Donetsk raion,Petrovskyi town,Donetsk,47.945420,37.617341,1,A civilian was killed during the shelling of Donetsk by Ukrainian troops,UCDP GED v25.1
2022-03-30,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Kharkiv oblast,Izyum raion,Slobozhanske village,Kharkiv,49.592171,36.526507,2,"In Slobozhansky, Kharkiv region , a mother and child were killed as a result of an airstrike",UCDP GED v25.1
2022-03-30,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Donetsk oblast,,DPR controlled territory,Donetsk,47.920000,38.280000,4,"More than 40 Ukrainian soldiers were killed during the day in battles with the people's militia of the DNR - Basurin;4 DPR soldiers killed in 24 hours , 25 wounded - Basurin",UCDP GED v25.1
2022-03-30,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Kharkiv oblast,Izyum raion,Donetske village,Kharkiv,49.145862,37.246259,2,"In the Kharkiv region, the largest fires due to shelling occurred in the regional center and in Dergachi",UCDP GED v25.1
2022-03-30,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Kharkiv oblast,Kharkiv raion,Derhachi village,Kharkiv,50.108463,36.115225,1,"In the Kharkiv region, the largest fires due to shelling occurred in the regional center and in Dergachi;Ukraine: AOAV explosive violence data on harm to civilians",UCDP GED v25.1
2022-03-30,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Zaporizhzhya oblast,Polohy raion,Hulyaipole town,Zaporizhia,47.658519,36.272250,1,"In the Zaporozhye region , the commander of a platoon of the Troop Battalion died",UCDP GED v25.1
2022-03-30,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Donetsk oblast,Donetsk raion,Donetsk town,Donetsk,48.000000,37.805278,1,Woman killed in shelling in DPR,UCDP GED v25.1
2022-03-30,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Donetsk oblast,Donetsk raion,Donetsk town,Donetsk,48.000000,37.805278,1,A civilian was killed during the shelling of Donetsk by Ukrainian troops,UCDP GED v25.1
2022-03-30,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Kherson oblast,Kherson raion,Oleksandrivka village,Kherson,46.614089,32.110032,1,Honorably award the posthumous title of Hero of Ukraine,UCDP GED v25.1
2022-03-31,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Kherson oblast,Kherson raion,Sofiivka village,Kherson,46.596260,32.257050,1,In memory of Kherson volunteer Ihor Kosa,UCDP GED v25.1
2022-03-31,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Kharkiv oblast,Izyum raion,Izyum town,Kharkiv,49.209749,37.265663,1,"I am asking to award the honorary title of ""Hero of Ukraine"" (posthumously) to my husband Oleg Yuriyovych Komiz on November 14, 1992, who was seriously wounded during a combat mission near the city of Izyum in the Kharkiv Region. He died on April 3, 2022 in the Kramatorsk hospital. Komyz Oleg Yuriyovych was awarded the Order ""For Courage"" III degree (2022 posthumously) - for personal courage and selfless actions shown in the defense of the state sovereignty and territorial integrity of Ukraine, ",UCDP GED v25.1
2022-03-31,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Donetsk oblast,Pokrovsk raion,Marinka town,Donetsk,47.941669,37.504218,4,"5 people killed , 22 injured from aggressor shelling in Donetsk region on Thursday - Kirilenko;Harkavchenko Serhij Mykolajovych;Lapt'onok Mykhajlo",UCDP GED v25.1
2022-03-31,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Donetsk oblast,Volnovakha raion,Vuhledar town,Donetsk,47.780310,37.250640,2,"5 people killed , 22 injured from aggressor shelling in Donetsk region on Thursday - Kirilenko",UCDP GED v25.1
2022-03-31,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Donetsk oblast,Kramatorsk raion,Kostiantynivka town,Donetsk,48.520114,37.704963,1,"5 people killed , 22 injured from aggressor shelling in Donetsk region on Thursday - Kirilenko",UCDP GED v25.1
2022-03-31,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Luhansk oblast,Severodonetsk raion,Severodonetsk town,Luhansk,48.933333,38.500000,2,Man killed in shelling of residential area in Severodonetsk;Ukraine: AOAV explosive violence data on harm to civilians,UCDP GED v25.1
2022-03-31,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Donetsk oblast,,Donetsk oblast,Donetsk,48.140000,37.740000,2,"Shelling continues in Donetsk and Lugansk regions, fighting continues near Chernihiv, a sweep is underway in the Kiev region - a summary of regional OVAs",UCDP GED v25.1
2022-03-31,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Luhansk oblast,Severodonetsk raion,Severodonetsk town,Luhansk,48.933333,38.500000,1,"Two people were killed in Severodonetsk, Luhansk region as a result of enemy shelling , two more were injured - Chairman of the Regional Military Association",UCDP GED v25.1
2022-03-31,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Luhansk oblast,,LPR controlled territory,Luhansk,48.210000,39.330000,5,Investigative Committee of the Russian Federation opened two more criminal cases after shelling of civilians in the DPR and LPR,UCDP GED v25.1
2022-03-31,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Donetsk oblast,Mariupol raion,Rybatske village,Mariupol,47.007083,37.452694,15,MilitaryLand.net @Militarylandnet;Ukrainian Mi-8 Helicopter Shot Down Near Mariupol;Award the Order of Bohdan Khmelnytskyi (posthumously) to Chief Sergeant Vasylyuk Myroslav Ivanovich.,UCDP GED v25.1
2022-03-31,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Donetsk oblast,Mariupol raion,Mariupol town,Mariupol,47.095833,37.549444,6,"In memory of aviator, pilot-instructor Yuri Tymus;Tymus' Jurij Volodymyrovych;Badika Denys Mykhajlovych;Polozhentsev Dmytro Artemovych	;Kramarenko Vladyslav;Martynenko Dmytro Volodymyrovych;In memory of the Hero of Ukraine, pilot-navigator Denys Badyka",UCDP GED v25.1
2022-03-31,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Donetsk oblast,Pokrovsk raion,Pokrovsk raion,Donetsk,48.221848,37.198509,1,Babych Petro,UCDP GED v25.1
2022-03-31,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Donetsk oblast,Bakhmut raion,Ozarianivka village,Donetsk,48.451029,37.955368,1,Odnoroh Oleksandr Anatolijovych,UCDP GED v25.1
2022-03-31,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Donetsk oblast,,Donetsk oblast,Donetsk,48.140000,37.740000,1,Breslavets' Andrij Leonidovych,UCDP GED v25.1
2022-03-31,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Donetsk oblast,Volnovakha raion,Volnovakha town,Donetsk,47.595000,37.482500,1,Makyeyev Hryhorij Jurijovych,UCDP GED v25.1
2022-03-31,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Donetsk oblast,Bakhmut raion,Bakhmut raion,Donetsk,48.268307,38.370347,1,Battle of Bakhmut,UCDP GED v25.1
2022-03-31,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Donetsk oblast,Kramatorsk raion,Bohorodychne village,Donetsk,49.015428,37.506746,3,Award the Order of Courage (Posthumously) to My Friend and Comrade Naumov Danylo Volodymyrovych 06.08.1999 90 OAEMB 81 OAEMB;Naumov Danylo Volodymyrovych;Bab’jak Volodymyr Stepanovych;Chernyshov Serhij Leonidovych,UCDP GED v25.1
2022-03-31,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Donetsk oblast,Mariupol raion,Mariupol town,Mariupol,47.095833,37.549444,1,In memory of border guard Oleksandr Vedilin,UCDP GED v25.1
2022-04-01,2022,Violence against civilians,One-sided violence,Government of Russia (Soviet Union),Civilians,Luhansk oblast,Severodonetsk raion,Kreminna town,Luhansk,49.041997,38.210206,0,"In the Luhansk direction, the enemy killed at least 400 civilians during the night - interception",UCDP GED v25.1
2022-04-01,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Zaporizhzhya oblast,,Zaporizhzhya oblast,Zaporizhia,47.839720,35.140570,1,Two More Georgian Fighters Killed in Ukraine,UCDP GED v25.1
2022-04-01,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Kharkiv oblast,Izyum raion,Izyum town,Kharkiv,49.209749,37.265663,22,"In the liberated Izyum, they found the burial of soldiers with their hands tied;Exhumation in the forest near Izyum completed - 447 bodies found;In Izyum, 427 dead have already been exhumed at the mass grave site",UCDP GED v25.1
2022-04-01,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Donetsk oblast,,Donetsk oblast,Donetsk,48.140000,37.740000,2,"""At least 30 thousand"": The Book of Remembrance counted the dead Ukrainian soldiers since the beginning of the Great War. INFOGRAPHICS;Harmash Roman Oleksandrovych;Hremjachkin Mykhajlo Oleksandrovych",UCDP GED v25.1
2022-04-01,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Luhansk oblast,,Luhansk oblast,Luhansk,48.920000,39.020000,2,"""At least 30 thousand"": The Book of Remembrance counted the dead Ukrainian soldiers since the beginning of the Great War. INFOGRAPHICS",UCDP GED v25.1
2022-04-01,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Donetsk oblast,Pokrovsk raion,Kurakhove town,Donetsk,47.987053,37.271787,1,Oleksiy Puchkov;Puchkov Oleksij Valerijovych,UCDP GED v25.1
2022-04-01,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Donetsk oblast,Donetsk raion,Donetsk town,Donetsk,48.000000,37.805278,1,Khmel' Maksym Vasyl'ovych,UCDP GED v25.1
2022-04-01,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Donetsk oblast,Donetsk raion,Yasinovataya town,Donetsk,48.120944,37.872544,1,Sahajdak Serhij Volodymyrovych,UCDP GED v25.1
2022-04-01,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Donetsk oblast,Mariupol raion,Mariupol town,Mariupol,47.095833,37.549444,1,Shastun Ihor Mykhajlovych,UCDP GED v25.1
2022-04-01,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Donetsk oblast,Bakhmut raion,Bakhmut raion,Donetsk,48.268307,38.370347,2,Battle of Bakhmut;Konyshev Semen Jurijovych,UCDP GED v25.1
2022-04-01,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Donetsk oblast,Kramatorsk raion,Svyatohirsk village,Donetsk,49.037516,37.568266,1,Pyvovarov Serhij Mykhajlovych,UCDP GED v25.1
2022-04-01,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Donetsk oblast,Starobesheve raion,Rozdolne village,Donetsk,47.617360,38.018940,1,Konyev Yevhen Viktorovych,UCDP GED v25.1
